Merk;Model;Uitvoering_Details;Prijs;Kilometerstand;Bouwjaar;Brandstof;Transmissie;Vermogen;Foto_URL;Auto_URL
Mercedes-Benz;GLB 35 AMG;AMG 35 4MATIC;€ 39.950;82.500 km;11/2020;Benzine;Automatisch;225 kW (306 PK);https://prod.pictures.autoscout24.net/listing-images/d427fc03-2250-41d4-95dc-9e673a9a4a63_9115fff1-fc70-46f2-a9cc-86a5a11e2caa.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-glb-35-amg-amg-35-4matic-benzine-rood-d427fc03-2250-41d4-95dc-9e673a9a4a63
Mercedes-Benz;A 250;250 e BNS Sol AMG;€ 37.950;29.500 km;07/2025;Elektro/Benzine;Automatisch;120 kW (163 PK);https://prod.pictures.autoscout24.net/listing-images/80103d17-1e29-4cae-aa01-77c9a248a9f0_e963bdee-ea8f-4bf9-8fc2-7f339cedcf31.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-a-250-250-e-bns-sol-amg-elektro-benzine-grijs-80103d17-1e29-4cae-aa01-77c9a248a9f0
Mercedes-Benz;GLB 200;Autm, Amg,Pano Memory,Keyles;€ 34.950;74.000 km;03/2021;Benzine;Automatisch;120 kW (163 PK);https://prod.pictures.autoscout24.net/listing-images/1a26aa02-7430-4bcd-8436-01f91ceef3a3_14b1c818-2dea-4a2a-9f8d-2dc9d4325c5e.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-glb-200-autm-amg-pano-memory-keyles-benzine-blauw-1a26aa02-7430-4bcd-8436-01f91ceef3a3
Mercedes-Benz;E 300;300 de 4MATIC AMG L.;€ 78.950;46.000 km;01/2025;Diesel;Automatisch;145 kW (197 PK);https://prod.pictures.autoscout24.net/listing-images/bd6b88db-5733-4889-aba8-460b29bca65d_05a92337-fe83-46fb-b78d-9fabfd11f8ea.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-e-300-300-de-4matic-amg-l-diesel-grijs-bd6b88db-5733-4889-aba8-460b29bca65d
Mercedes-Benz;B 250;250 Premium Plus;€ 26.950;38.000 km;08/2019;Benzine;Automatisch;165 kW (224 PK);https://prod.pictures.autoscout24.net/listing-images/86723524-deb3-4b7e-b5e6-395e388719ea_531d4537-00fe-4fe5-bb49-7a0ba35ecdba.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-b-250-250-premium-plus-benzine-wit-86723524-deb3-4b7e-b5e6-395e388719ea
Mercedes-Benz;C 300;300 e Premium Pack;€ 25.995;47.000 km;08/2020;Benzine;Automatisch;155 kW (211 PK);https://prod.pictures.autoscout24.net/listing-images/4cc8acf9-d76e-4526-82dd-f6ee3c9821c9_09f7a6c7-35d9-4352-add5-8c1f75a05642.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-c-300-300-e-premium-pack-benzine-grijs-4cc8acf9-d76e-4526-82dd-f6ee3c9821c9
Mercedes-Benz;CLA 200;200 Bus. Sol. AMG;€ 25.950;137.000 km;03/2021;Benzine;Automatisch;120 kW (163 PK);https://prod.pictures.autoscout24.net/listing-images/5b2193cd-17f9-4ca9-ad53-e7221f7485d8_b2dc52e2-b37f-4f1e-abe5-d599b8cb0551.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-cla-200-200-bus-sol-amg-benzine-zwart-5b2193cd-17f9-4ca9-ad53-e7221f7485d8
Porsche;Cayenne;3.0 E-Hybrid Pl. Ed.;€ 84.950;44.000 km;03/2023;Benzine;Automatisch;250 kW (340 PK);https://prod.pictures.autoscout24.net/listing-images/f8edb231-7532-41b4-bcce-98fdeb291c99_8d97aa03-5337-4c6a-8f25-3af2dfd6c647.jpg;https://www.autoscout24.nl/aanbod/porsche-cayenne-3-0-e-hybrid-pl-ed-benzine-blauw-f8edb231-7532-41b4-bcce-98fdeb291c99
Mercedes-Benz;A 250;AMG | 360 | Head-up | Night | Pano | Multibeam;€ 38.950;27.750 km;06/2025;Elektro/Benzine;Automatisch;120 kW (163 PK);https://prod.pictures.autoscout24.net/listing-images/9415e090-79d0-4d2d-8d68-b47b56949902_6c4caa1f-49ba-4847-8770-03dde51dace0.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-a-250-amg-360-head-up-night-pano-multibeam-elektro-benzine-grijs-9415e090-79d0-4d2d-8d68-b47b56949902
Mercedes-Benz;CLA 180;AMG | Pano | Night | High Perf. LED | 48VMild Hyb.;€ 28.500;99.998 km;04/2021;Benzine;Automatisch;100 kW (136 PK);https://prod.pictures.autoscout24.net/listing-images/46b76078-2fb2-48e5-82f0-991b50a252c3_238270d0-5487-4dfa-b017-ca380f51563b.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-cla-180-amg-pano-night-high-perf-led-48vmild-hyb-benzine-zwart-46b76078-2fb2-48e5-82f0-991b50a252c3
Mercedes-Benz;C 200;200 L. Ed. AMG Line;€ 33.950;122.000 km;01/2022;Benzine;Automatisch;150 kW (204 PK);https://prod.pictures.autoscout24.net/listing-images/a81edbf4-f5b2-4493-af77-e8657b86134c_0efafd31-6be7-4b4d-90ca-e4241969061d.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-c-200-200-l-ed-amg-line-benzine-blauw-a81edbf4-f5b2-4493-af77-e8657b86134c
Mercedes-Benz;CLA 200;AMG | Led H. Perf | Thermotronic |EasyPack|Keyless;€ 32.950;39.387 km;09/2023;Benzine;Automatisch;120 kW (163 PK);https://prod.pictures.autoscout24.net/listing-images/83e04626-ea8c-4704-9d89-ec1226039981_54eb89d6-002f-4c3a-a963-beed9accb70d.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-cla-200-amg-led-h-perf-thermotronic-easypack-keyless-benzine-zwart-83e04626-ea8c-4704-9d89-ec1226039981
Mercedes-Benz;A 180;AMG | Nightpakket | Pano | Keyless | Multibeam;€ 28.950;33.615 km;02/2022;Benzine;Automatisch;100 kW (136 PK);https://prod.pictures.autoscout24.net/listing-images/5e35c1c0-2c33-4b15-90d4-1fe5d988cfff_9a6d5a2a-60db-4e23-b828-06f8a0d3c613.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-a-180-amg-nightpakket-pano-keyless-multibeam-benzine-brons-5e35c1c0-2c33-4b15-90d4-1fe5d988cfff
Mercedes-Benz;GLA 250;Trekhaak | Distronic | AMG | Pano | Multibeam |Key;€ 34.500;56.650 km;04/2021;Elektro/Benzine;Automatisch;120 kW (163 PK);https://prod.pictures.autoscout24.net/listing-images/0eda48b4-e43f-4b80-8562-d39c21718937_101eff00-2717-43a6-834b-4c874ffa4fe8.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-gla-250-trekhaak-distronic-amg-pano-multibeam-key-elektro-benzine-blauw-0eda48b4-e43f-4b80-8562-d39c21718937
Mercedes-Benz;GLB 200;MBUX | Sfeerverl. | Adv. Sound System | Keyless |;€ 32.950;64.650 km;02/2022;Benzine;Automatisch;120 kW (163 PK);https://prod.pictures.autoscout24.net/listing-images/c9758880-dfe0-4a3b-842b-3be5ffd8f69a_de770860-7d4b-42aa-b716-fe24af05fb52.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-glb-200-mbux-sfeerverl-adv-sound-system-keyless-benzine-blauw-c9758880-dfe0-4a3b-842b-3be5ffd8f69a
Mercedes-Benz;A 250;AMG | PANO | Night | Multibeam | Memory | Keyless;€ 23.950;136.500 km;05/2021;Elektro/Benzine;Automatisch;118 kW (160 PK);https://prod.pictures.autoscout24.net/listing-images/cd8c90f2-69d0-4ed2-85b7-da4f7937e041_c34e1522-343d-4f8d-995a-1d985942899e.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-a-250-amg-pano-night-multibeam-memory-keyless-elektro-benzine-grijs-cd8c90f2-69d0-4ed2-85b7-da4f7937e041
Mercedes-Benz;CLA 250;EQ | Pano | 360 | Distronic+ | Memory | WEEKACTIE!;€ 29.995;49.898 km;07/2021;Elektro/Benzine;Automatisch;160 kW (218 PK);https://prod.pictures.autoscout24.net/listing-images/86830c13-bdf5-46ca-a31c-1a6b09616f49_c4b0628e-01de-48f2-b0a8-6b672b8b8031.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-cla-250-eq-pano-360-distronic-memory-weekactie-elektro-benzine-grijs-86830c13-bdf5-46ca-a31c-1a6b09616f49
Mercedes-Benz;E 200;AMG | Multibeam | Ambient | Dodehoek | Augm. | Air;€ 44.950;80.000 km;10/2020;Benzine;Automatisch;145 kW (197 PK);https://prod.pictures.autoscout24.net/listing-images/e4dc086a-0ec4-4488-a055-6cf0a5f74022_8d7b4a02-b159-4809-8f52-7b5f1b538cec.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-e-200-amg-multibeam-ambient-dodehoek-augm-air-benzine-zwart-e4dc086a-0ec4-4488-a055-6cf0a5f74022
Mercedes-Benz;C 180;AMG | Premium Pack | Pano | Dig. Led | Memory |360;€ 36.950;48.843 km;08/2024;Benzine;Automatisch;125 kW (170 PK);https://prod.pictures.autoscout24.net/listing-images/97267021-8f73-4779-949f-84b4561f3998_b7b3f1cd-9b68-4685-a258-2d170fd571f5.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-c-180-amg-premium-pack-pano-dig-led-memory-360-benzine-zwart-97267021-8f73-4779-949f-84b4561f3998
Mercedes-Benz;B 250;AMG | Head-up | 360° | Distronic | Pano | Keyl.;€ 32.950;78.500 km;08/2019;Benzine;Automatisch;165 kW (224 PK);https://prod.pictures.autoscout24.net/listing-images/70d1d06b-6c44-4872-90f0-86f01f65b03d_4b74a912-6cdc-4a0e-8af8-18fc383ffe51.jpg;https://www.autoscout24.nl/aanbod/mercedes-benz-b-250-amg-head-up-360-distronic-pano-keyl-benzine-grijs-70d1d06b-6c44-4872-90f0-86f01f65b03d
